,WordText,WordTextLower,CategoryLabel
0,2018,2018,DATE
1,Congress,congress,ORG
2,Senate,senate,ORG
3,United States,united states,GPE
4,"500 and 5,500 kilometers","500 and 5,500 kilometers",QUANTITY
5,Defense,defense,ORG
6,State,state,ORG
7,National Intelligence,national intelligence,ORG
8,2017,2017,DATE
9,American,american,NORP
10,CVS,cvs,ORG
11,the United States,the united states,GPE
12,46,46,CARDINAL
13,March 2008,march 2008,DATE
14,the National Academy of Sciences,the national academy of sciences,ORG
15,Columbia University,columbia university,ORG
16,Douglas Almond,douglas almond,PERSON
17,Lena Edlund,lena edlund,PERSON
18,March 2006,march 2006,DATE
19,Zogby International,zogby international,ORG
20,86 percent,86 percent,PERCENT
21,Americans,americans,NORP
22,only eight,only eight,CARDINAL
23,States,states,NORP
24,2012,2012,DATE
25,the Charlotte Lozier Institute,the charlotte lozier institute,ORG
26,77 percent,77 percent,PERCENT
27,Congressional,congressional,NORP
28,Communist Government,communist government,ORG
29,China,china,GPE
30,1990,1990,DATE
31,Harvard University,harvard university,ORG
32,Amartya Sen,amartya sen,PERSON
33,more than 100 million,more than 100 million,CARDINAL
34,the Republic of India,the republic of india,GPE
35,the United Kingdom,the united kingdom,GPE
36,the People’s Republic of China,the people’s republic of china,ORG
37,The American Congress of Obstetricians and Gynecologists,the american congress of obstetricians and gynecologists,ORG
38,ART,art,ORG
39,one,one,CARDINAL
40,first,first,ORDINAL
41,the American Association of Pro Life Obstetricians,the american association of pro life obstetricians,ORG
42,Gynecologists,gynecologists,NORP
43,One third,one third,CARDINAL
44,South Asian,south asian,NORP
45,Walter Astrada,walter astrada,PERSON
46,Indian,indian,NORP
47,Forty percent,forty percent,PERCENT
48,89 percent,89 percent,PERCENT
49,100 percent,100 percent,PERCENT
50,Tony Falconer,tony falconer,PERSON
51,the Royal College of Obstetrics and Gynaecology,the royal college of obstetrics and gynaecology,ORG
52,the University of California,the university of california,ORG
53,two,two,CARDINAL
54,three,three,CARDINAL
55,four,four,CARDINAL
56,the American Eugenics Society,the american eugenics society,ORG
57,"450,000","450,000",CARDINAL
58,Black Americans,black americans,NORP
59,each year,each year,DATE
60,the Alan Guttmacher Institute,the alan guttmacher institute,ORG
61,Planned Parenthood,planned parenthood,ORG
62,the National Vital Statistics,the national vital statistics,ORG
63,annual,annual,DATE
64,from year to year,from year to year,DATE
65,2005,2005,DATE
66,Only one,only one,CARDINAL
67,Arizona,arizona,GPE
68,African Americans,african americans,NORP
69,Chapter 13,chapter 13,LAW
70,VI of,vi of,PRODUCT
71,the Civil Rights Act,the civil rights act,ACT
72,1964,1964,DATE
73,601,601,CARDINAL
74,more than 1 year,more than 1 year,DATE
75,the Supreme Court,the supreme court,ORG
76,Constitution,constitution,LAW
77,1,1,CARDINAL
78,Firearm Act,firearm act,ACT
79,the Federal Government,the federal government,ORG
80,section 8,section 8,LAW
81,the Fair Labor Standards Act,the fair labor standards act,ACT
82,1938,1938,DATE
83,29,29,CARDINAL
84,201,201,CARDINAL
85,206,206,CARDINAL
86,6(d,6(d,CARDINAL
87,6,6,CARDINAL
88,Section 15(a,section 15(a,DATE
89,216,216,CARDINAL
90,section 6(h,section 6(h,LAW
91,the Federal Rules of Civil Procedure,the federal rules of civil procedure,LAW
92,203(a)(1,203(a)(1,CARDINAL
93,1995,1995,DATE
94,2,2,CARDINAL
95,1313(a)(1,1313(a)(1,CARDINAL
96,Act,act,ACT
97,2 U.S.C.,2 u.s.c.,PERCENT
98,1313(b,1313(b,DATE
99,section 16(f,section 16(f,LAW
100,3,3,CARDINAL
101,United States Code,united states code,ORG
102,2(a,2(a,CARDINAL
103,the Presidential and Executive Office Accountability Act,the presidential and executive office accountability act,ACT
104,1 year,1 year,DATE
105,"the Federal Food, Drug","the federal food, drug",ORG
106,21 U.S.C. 355c,21 u.s.c. 355c,PERCENT
107,section 505B(e)(2)(C,section 505b(e)(2)(c,LAW
108,21,21,CARDINAL
109,Federal Regulations,federal regulations,ORG
110,30 days,30 days,DATE
111,later than 90 calendar days,later than 90 calendar days,DATE
112,a)(4,a)(4,ORG
113,2)(C)(i,2)(c)(i,CARDINAL
114,2)(C)(i)(II,2)(c)(i)(ii,CARDINAL
115,Orphan,orphan,GPE
116,355c(k,355c(k,CARDINAL
117,later than 1 year,later than 1 year,DATE
118,Health and Human Services,health and human services,ORG
119,505,505,CARDINAL
120,355,355,CARDINAL
121,42 U.S.C.,42 u.s.c.,MONEY
122,262,262,CARDINAL
123,the FDA Safety and Innovation Act,the fda safety and innovation act,ACT
124,section 505A,section 505a,LAW
125,355a(d,355a(d,CARDINAL
126,120 days,120 days,DATE
127,the Best Pharmaceuticals for Children Act,the best pharmaceuticals for children act,ACT
128,the 5 year,the 5 year,DATE
129,Unnecessary Registration and Deportation,unnecessary registration and deportation,ORG
130,263,263,CARDINAL
131,265,265,CARDINAL
132,266,266,CARDINAL
133,1303,1303,DATE
134,Housing and Urban Development,housing and urban development,ORG
135,561,561,CARDINAL
136,the Housing and Community Development Act,the housing and community development act,ACT
137,1987,1987,DATE
138,3616a(h,3616a(h,CARDINAL
139,42,42,CARDINAL
140,42 U.S.C. 3602,42 u.s.c. 3602,MONEY
141,15,15,CARDINAL
142,1601,1601,DATE
143,the 180 day,the 180 day,DATE
144,section 553,section 553,LAW
145,5,5,CARDINAL
146,Authorization of Appropriations,authorization of appropriations,ORG
147,"15,000,000","15,000,000",MONEY
148,each of fiscal years 2018,each of fiscal years 2018,DATE
149,2022,2022,DATE
150,the Fair Housing Initiatives Program,the fair housing initiatives program,ORG
151,"42,500,000","42,500,000",MONEY
152,each of fiscal years 2015 through 2019,each of fiscal years 2015 through 2019,DATE
153,less than 75 percent,less than 75 percent,PERCENT
154,more than 10 percent,more than 10 percent,PERCENT
155,any of fiscal years 2015 through 2019,any of fiscal years 2015 through 2019,DATE
156,the Fair Housing Act,the fair housing act,ACT
157,42 U.S.C. 3616a(j,42 u.s.c. 3616a(j,MONEY
158,"5,000,000","5,000,000",MONEY
159,this Act,this act,ACT
160,the Office of Management and Budget,the office of management and budget,ORG
161,Non Profit Organizations,non profit organizations,ORG
162,Science Success Act,science success act,ACT
163,the Small Business Administration,the small business administration,ORG
164,Commerce for Intellectual Property,commerce for intellectual property,ORG
165,the United States Patent and Trademark Office,the united states patent and trademark office,ORG
166,later than 6 months,later than 6 months,DATE
167,the Committee on Small Business of the House of Representatives,the committee on small business of the house of representatives,ORG
168,the Committee on Small Business and Entrepreneurship,the committee on small business and entrepreneurship,ORG
169,Hidden Figures Congressional Gold Medal Act,hidden figures congressional gold medal act,ACT
170,the House of Representatives,the house of representatives,ORG
171,4,4,CARDINAL
172,Treasury,treasury,ORG
173,Smithsonian Institution,smithsonian institution,ORG
174,Dorothy Vaughan,dorothy vaughan,PERSON
175,the Smithsonian Institution,the smithsonian institution,ORG
176,the National Museum of African American History and Culture,the national museum of african american history and culture,ORG
177,Mary Jackson,mary jackson,PERSON
178,a)(3)(B,a)(3)(b,ORG
179,chapter 51,chapter 51,LAW
180,5134,5134,DATE
181,5136,5136,CARDINAL
182,31,31,CARDINAL
183,the United States Mint Public Enterprise Fund,the united states mint public enterprise fund,ORG
184,section 4,section 4,LAW
185,Congressional Gold Medals,congressional gold medals,ORG
186,Wanda Jackson,wanda jackson,PERSON
187,the Omnibus Crime Control,the omnibus crime control,ORG
188,1968,1968,DATE
189,34,34,CARDINAL
190,10101,10101,DATE
191,Grants,grants,ORG
192,National Pretrial Reporting Program,national pretrial reporting program,ORG
193,48 hours,48 hours,TIME
194,monthly,monthly,DATE
195,each fiscal year,each fiscal year,DATE
196,fiscal year 2018,fiscal year 2018,DATE
197,the third fiscal year beginning,the third fiscal year beginning,DATE
198,Notwithstanding,notwithstanding,GPE
199,GAO,gao,ORG
200,later than 3 years,later than 3 years,DATE
201,the Comptroller General,the comptroller general,ORG
202,Findings,findings,PERSON
203,2000a,2000a,DATE
204,202,202,CARDINAL
205,Title II,title ii,PRODUCT
206,2000d,2000d,DATE
207,section 701,section 701,LAW
208,2000e,2000e,DATE
209,1106,1106,DATE
210,2000e–3(b,2000e–3(b,CARDINAL
211,2000e–5(g)(2)(A,2000e–5(g)(2)(a,CARDINAL
212,Federal Government,federal government,ORG
213,1991,1991,DATE
214,1107,1107,DATE
215,1301,1301,DATE
216,section 201,section 201,LAW
217,1978,1978,DATE
218,Chapter 23,chapter 23,LAW
219,II,ii,ORG
220,III,iii,ORG
221,VI,vi,ORG
222,1101,1101,DATE
223,1979,1979,DATE
224,1980,1980,DATE
225,the Revised Statutes,the revised statutes,PRODUCT
226,1983,1983,DATE
227,The Religious Freedom Restoration Act,the religious freedom restoration act,ACT
228,1993,1993,DATE
229,section 901,section 901,LAW
230,901,901,CARDINAL
231,42 U.S.C. 3631,42 u.s.c. 3631,MONEY
232,section 802 of this Act,section 802 of this act,ACT
233,the Equal Credit Opportunity Act,the equal credit opportunity act,ACT
234,1691(a)(1,1691(a)(1,CARDINAL
235,1691a,1691a,DATE
236,1691d(a,1691d(a,CARDINAL
