,BillID,CommittteeName
0,1,Committee on Foreign Relations
1,2,Committee on the Judiciary
2,3,Committee on the Judiciary
3,4,Committee on Education and the Workforce
4,5,"Committee on Health, Education, Labor, and Pensions"
5,6,Committee on the Judiciary
6,7,Committee on Energy and Commerce
7,8,Committee on Financial Services
8,9,Committee on Small Business
9,9,the Judiciary
10,10,"Committee on Banking, Housing, and Urban Affairs"
11,11,Committee on the Judiciary
12,12,Committee on the Judiciary
13,13,Committee on the Judiciary
14,14,Committee on the Judiciary
15,15,Committee on Financial Services
16,15,Committee on House Administration
17,16,
18,17,Committee on Energy and Commerce
19,18,Committee on the Judiciary
20,18,Education and the Workforce
21,19,"Committee on Health, Education, Labor, and Pensions"
22,20,Committee on Energy and Commerce
23,21,Committee on the Judiciary
24,22,Committee on the Judiciary
25,22,Education and the Workforce
26,22,Financial Services
27,22,Oversight and Government Reform
28,22,House Administration
29,23,Committee on the Judiciary
30,24,Committee on the Judiciary
31,25,Committee on the Judiciary
32,26,
33,27,Committee on the Judiciary
34,28,Committee on Education and the Workforce
35,29,Committee on the Judiciary
36,30,Committee on the Judiciary
37,31,Committee on the Judiciary
38,32,"Committee on Health, Education, Labor, and Pensions"
39,33,Committee on Financial Services
40,34,Committee on the Judiciary
41,35,Committee on the Judiciary
42,36,Committee on Armed Services
43,37,Committee on Transportation and Infrastructure
44,37,Committee on Homeland Security
45,38,Committee on the Judiciary
46,39,Committee on the Judiciary
47,40,Committee on the Judiciary
48,41,"Committee on Health, Education, Labor, and Pensions"
49,42,Committee on Foreign Affairs
50,43,Committee on the Judiciary
51,43,Education and the Workforce
52,44,Committee on Energy and Commerce
53,45,Committee on Education and the Workforce
54,46,Committee on the Judiciary
55,47,
56,48,Committee on Energy and Commerce
57,49,Committee on Energy and Commerce
58,50,
59,51,
60,52,Committee on the Judiciary
61,53,Committee on the Judiciary
62,54,
63,55,Committee on the Judiciary
64,56,Committee on the Judiciary
65,57,Committee on the Judiciary
66,58,Committee on the Judiciary
67,59,Committee on the Judiciary
68,60,Committee on Foreign Affairs
69,61,"Committee on Health, Education, Labor, and Pensions"
70,62,Committee on the Judiciary
71,63,"Committee on Health, Education, Labor, and Pensions"
72,64,Committee on the Judiciary
73,65,Committee on the Judiciary
74,65,Committee on Education and the Workforce
75,66,Committee on Education and the Workforce
76,66,House Administration
77,66,Oversight and Government Reform
78,66,the Judiciary
79,67,Committee on Education and the Workforce
80,68,Committee on Energy and Commerce
81,69,Committee on Oversight and Government Reform
82,70,"Committee on Health, Education, Labor, and Pensions"
83,71,Committee on Oversight and Government Reform
84,72,"Committee on Health, Education, Labor, and Pensions"
85,73,Committee on Energy and Commerce
86,73,Natural Resources
87,73,Transportation and Infrastructure
88,73,the Judiciary
89,74,Committee on Foreign Affairs
90,74,Armed Services
91,74,Intelligence (Permanent Select)
92,74,the Judiciary
93,74,Homeland Security
94,74,Agriculture
95,74,Financial Services
96,75,Committee on Energy and Commerce
97,76,Committee on the Judiciary
98,77,
99,78,Committee on Environment and Public Works
100,79,Committee on the Judiciary
101,79,Foreign Affairs
102,79,Homeland Security
103,79,Intelligence (Permanent Select)
104,80,Committee on the Judiciary
105,81,Committee on the Judiciary
106,82,Committee on Education and the Workforce
107,83,Committee on the Judiciary
108,84,Committee on the Judiciary
