Name,Link,OfficialTitle,LegisType,BillStage
BILLS-115s3667is,https://www.govinfo.gov/content/pkg/BILLS-115s3667is/xml/BILLS-115s3667is.xml,"To prevent a nuclear arms race resulting from weakened international restrictions on the
			 proliferation of intermediate- and shorter-range missiles, and for other
			 purposes.",A BILL,Introduced-in-Senate
BILLS-115hr147ih,https://www.govinfo.gov/content/pkg/BILLS-115hr147ih/xml/BILLS-115hr147ih.xml,"To prohibit discrimination against the unborn on the basis of sex or race, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s1592is,https://www.govinfo.gov/content/pkg/BILLS-115s1592is/xml/BILLS-115s1592is.xml,"To prohibit the Federal Government from requiring race or ethnicity to be disclosed in connection
			 with the transfer of a firearm.",A BILL,Introduced-in-Senate
BILLS-115hr2095ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2095ih/xml/BILLS-115hr2095ih.xml,"To amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on
			 account of sex, race, or national origin, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s456is,https://www.govinfo.gov/content/pkg/BILLS-115s456is/xml/BILLS-115s456is.xml,"To amend the Federal Food, Drug, and Cosmetic Act to establish a program to increase the
			 development of new drugs to treat pediatric cancers,
			 and for other purposes.",A BILL,Introduced-in-Senate
BILLS-115s54is,https://www.govinfo.gov/content/pkg/BILLS-115s54is/xml/BILLS-115s54is.xml,"To prohibit the creation of an immigration-related registry program that
			 classifies people on the basis of religion, race, age, gender, ethnicity,
			 national
			 origin, nationality, or citizenship.",A BILL,Introduced-in-Senate
BILLS-115hr1231ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1231ih/xml/BILLS-115hr1231ih.xml,"To amend the Federal Food, Drug, and Cosmetic Act to establish a program to increase the
			 development of new drugs to treat pediatric cancers, and for other
			 purposes.",A BILL,Introduced-in-House
BILLS-115hr149ih,https://www.govinfo.gov/content/pkg/BILLS-115hr149ih/xml/BILLS-115hr149ih.xml,"To authorize funds to prevent housing discrimination through the use of nationwide testing, to
			 increase funds for the Fair Housing Initiatives Program, and for other
			 purposes.",A BILL,Introduced-in-House
BILLS-115hr6390ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6390ih/xml/BILLS-115hr6390ih.xml,"To direct the Administrator of the Small Business Administration to study and identify best
			 practices for closing the gender, race, and income gap in patenting rates
			 for certain small business concerns, and for other purposes.",A BILL,Introduced-in-House
BILLS-115s3321is,https://www.govinfo.gov/content/pkg/BILLS-115s3321is/xml/BILLS-115s3321is.xml,"To award Congressional Gold Medals to Katherine Johnson and Dr. Christine Darden and to
			 posthumously award Congressional Gold Medals to Dorothy Vaughan and Mary
			 Jackson in recognition of their contributions to the success of the
			 National Aeronautics and Space Administration during the Space Race.",A BILL,Introduced-in-Senate
BILLS-115sres56is,https://www.govinfo.gov/content/pkg/BILLS-115sres56is/xml/BILLS-115sres56is.xml,"Expressing the sense of the Senate that the United States should remain a global leader in
			 welcoming and providing refuge to refugees and asylum seekers and that no
			 person should be
			 banned from entering the United States because of their nationality,
			 race, ethnicity, religion, sexual orientation, gender identity, or gender.",RESOLUTION,
BILLS-115hres291ih,https://www.govinfo.gov/content/pkg/BILLS-115hres291ih/xml/BILLS-115hres291ih.xml,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2017 as
			 Fair Housing Month, which includes bringing attention to the
			 discrimination faced by every-day Americans in the United States in
			 housing and housing-related transactions on the basis of race, color,
			 national origin, sex, familial status, disability, and religion.",RESOLUTION,
BILLS-115hres817ih,https://www.govinfo.gov/content/pkg/BILLS-115hres817ih/xml/BILLS-115hres817ih.xml,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2018 as Fair Housing Month, which includes bringing attention to the discrimination faced by every-day Americans in the United States in housing and housing-related transactions on the basis of race, color, national origin, sex, familial status, disability, and religion.",RESOLUTION,
BILLS-115sres70is,https://www.govinfo.gov/content/pkg/BILLS-115sres70is/xml/BILLS-115sres70is.xml,"Recognizing the 75th anniversary of Executive Order 9066 and expressing the sense of the Senate
			 that policies that discriminate against any individual based on the actual
			 or perceived race, ethnicity, national origin, or religion of that
			 individual would be a repetition of the mistakes of Executive Order 9066
			 and contrary to the values of the United States. ",RESOLUTION,
