,BillID,SponsorLastName,SponsorFirstName,SponsorState,PrimaryOrCoSponsor
0,1,Merkley,,,Primary
1,1,Warren,,,Co
2,1,Gillibrand,,,Co
3,1,Markey,,,Co
4,1,Wyden,,,Co
5,1,Sanders,,,Co
6,1,Feinstein,,,Co
7,2,Franks,,Arizona,Primary
8,2,,,,Co
9,3,Blunt,,,Primary
10,3,Cochran,,,Co
11,3,Cornyn,,,Co
12,3,Manchin,,,Co
13,3,Enzi,,,Co
14,3,Thune,,,Co
15,3,Strange,,,Co
16,3,Capito,,,Co
17,4,Norton,,,Primary
18,4,Pocan,,,Co
19,4,Ryan,,Ohio,Co
20,4,Davis,,California,Co
21,4,Pallone,,,Co
22,5,Bennet,,,Primary
23,5,Rubio,,,Co
24,5,Hollen,Van,,Co
25,5,Gardner,,,Co
26,6,Booker,,,Primary
27,6,Warren,,,Co
28,6,Schatz,,,Co
29,6,Markey,,,Co
30,6,Murray,,,Co
31,6,Sanders,,,Co
32,6,Leahy,,,Co
33,6,Merkley,,,Co
34,6,Hirono,,,Co
35,6,Wyden,,,Co
36,7,McCaul,,,Primary
37,7,Butterfield,,,Co
38,7,Duffy,,,Co
39,7,Clarke,,New York,Co
40,8,Green,Al,Texas,Primary
41,8,,,,Co
42,9,Comstock,,,Primary
43,9,Fitzpatrick,,,Co
44,9,Costa,,,Co
45,9,Hastings,,,Co
46,9,Jeffries,,,Co
47,9,Lipinski,,,Co
48,9,Clarke,,New York,Co
49,9,Peters,,,Co
50,10,Coons,,,Primary
51,10,Murkowski,,,Co
52,10,Harris,,,Co
53,10,Capito,,,Co
54,10,Markey,,,Co
55,10,Warren,,,Co
56,10,Carper,,,Co
57,10,Klobuchar,,,Co
58,10,Hassan,,,Co
59,10,Alexander,,,Co
60,10,Peters,,,Co
61,10,Whitehouse,,,Co
62,10,Wyden,,,Co
63,10,Durbin,,,Co
64,10,Merkley,,,Co
65,10,Smith,,,Co
66,10,Isakson,,,Co
67,10,Reed,,,Co
68,10,Collins,,,Co
69,10,Jones,,,Co
70,10,Manchin,,,Co
71,10,Kaine,,,Co
72,10,Murray,,,Co
73,10,Hollen,Van,,Co
74,10,Heitkamp,,,Co
75,10,Masto,Cortez,,Co
76,10,Casey,,,Co
77,10,Gillibrand,,,Co
78,10,Shaheen,,,Co
79,10,McCaskill,,,Co
80,10,Blumenthal,,,Co
81,10,Hirono,,,Co
82,10,King,,,Co
83,10,Nelson,,,Co
84,10,Blunt,,,Co
85,10,Warner,,,Co
86,10,Sanders,,,Co
87,10,Baldwin,,,Co
88,10,Rubio,,,Co
89,10,Feinstein,,,Co
90,10,Kennedy,,,Co
91,10,Scott,,,Co
92,10,Hyde-Smith,,,Co
93,10,Menendez,,,Co
94,10,Booker,,,Co
95,10,Portman,,,Co
96,10,Burr,,,Co
97,11,Leahy,,,Primary
98,11,Shaheen,,,Co
99,11,Hirono,,,Co
100,11,Booker,,,Co
101,11,Reed,,,Co
