,Representative Name,Last Name,State,Committee,Role
0,Alexander,,,"Health, Education, Labor, and Pensions",chair
1,Alexander,,,Appropriations,
2,Alexander,,,Energy and Natural Resources,
3,Alexander,,,Rules and Administration,
4,Baldwin,,,Appropriations,
5,Baldwin,,,"Commerce, Science, and Transportation",
6,Baldwin,,,"Health, Education, Labor, and Pensions",
7,Barrasso,,,Environment and Public Works,chair
8,Barrasso,,,Energy and Natural Resources,
9,Barrasso,,,Foreign Relations,
10,Barrasso,,,Indian Affairs,
11,Bennet,,,"Agriculture, Nutrition, and Forestry",
12,Bennet,,,Finance,
13,Bennet,,,"Health, Education, Labor, and Pensions",
14,Blumenthal,,,Armed Services,vice chair
15,Blumenthal,,,"Commerce, Science, and Transportation",
16,Blumenthal,,,Judiciary,
17,Blumenthal,,,Veterans' Affairs,
18,Blumenthal,,,Special Committee on Aging,
19,Blunt,,,Rules and Administration,chair
20,Blunt,,,Joint Committee on Printing,chair
21,Blunt,,,Joint Committee on the Library,vice chair
22,Blunt,,,Appropriations,
23,Blunt,,,"Commerce, Science, and Transportation",
24,Blunt,,,Select Committee on Intelligence,
25,Booker,,,Environment and Public Works,
26,Booker,,,Foreign Relations,
27,Booker,,,Judiciary,
28,Booker,,,Small Business and Entrepreneurship,
29,Boozman,,,"Agriculture, Nutrition, and Forestry",
30,Boozman,,,Appropriations,
31,Boozman,,,Budget,
32,Boozman,,,Environment and Public Works,
33,Boozman,,,Veterans' Affairs,
34,Brown,,,"Agriculture, Nutrition, and Forestry",
35,Brown,,,"Banking, Housing, and Urban Affairs",
36,Brown,,,Finance,
37,Brown,,,Veterans' Affairs,
38,Burr,,,Select Committee on Intelligence,chair
39,Burr,,,Finance,
40,Burr,,,"Health, Education, Labor, and Pensions",
41,Burr,,,Special Committee on Aging,
42,Cantwell,,,"Commerce, Science, and Transportation",
43,Cantwell,,,Energy and Natural Resources,
44,Cantwell,,,Finance,
45,Cantwell,,,Indian Affairs,
46,Cantwell,,,Small Business and Entrepreneurship,
47,Capito,,,Appropriations,
48,Capito,,,"Commerce, Science, and Transportation",
49,Capito,,,Energy and Natural Resources,
50,Capito,,,Environment and Public Works,
51,Capito,,,Rules and Administration,
52,Cardin,,,Environment and Public Works,
53,Cardin,,,Finance,
54,Cardin,,,Foreign Relations,
55,Cardin,,,Small Business and Entrepreneurship,
56,Carper,,,Environment and Public Works,
57,Carper,,,Finance,
58,Carper,,,Homeland Security and Governmental Affairs,
59,Casey,,,"Agriculture, Nutrition, and Forestry",
60,Casey,,,Finance,
61,Casey,,,"Health, Education, Labor, and Pensions",
62,Casey,,,Special Committee on Aging,
63,Cassidy,,,Energy and Natural Resources,
64,Cassidy,,,Finance,
65,Cassidy,,,"Health, Education, Labor, and Pensions",
66,Cassidy,,,Veterans' Affairs,
67,Cassidy,,,Joint Economic Committee,
68,Collins,,,Special Committee on Aging,chair
69,Collins,,,Appropriations,
70,Collins,,,"Health, Education, Labor, and Pensions",
71,Collins,,,Select Committee on Intelligence,
72,Coons,,,Select Committee on Ethics,vice chair
73,Coons,,,Appropriations,
74,Coons,,,Foreign Relations,
75,Coons,,,Judiciary,
76,Coons,,,Small Business and Entrepreneurship,
77,Corker,,,Foreign Relations,chair
78,Corker,,,"Banking, Housing, and Urban Affairs",
79,Corker,,,Budget,
80,Corker,,,Special Committee on Aging,
81,Cornyn,,,Finance,
82,Cornyn,,,Judiciary,
83,Cornyn,,,Select Committee on Intelligence,
84,Cortez Masto,,,"Banking, Housing, and Urban Affairs",
85,Cortez Masto,,,"Commerce, Science, and Transportation",
86,Cortez Masto,,,Energy and Natural Resources,
87,Cortez Masto,,,Indian Affairs,
88,Cortez Masto,,,Rules and Administration,
89,Cortez Masto,,,Special Committee on Aging,
90,Cotton,,,Armed Services,vice chair
91,Cotton,,,"Banking, Housing, and Urban Affairs",
92,Cotton,,,Budget,
93,Cotton,,,Joint Economic Committee,
94,Cotton,,,Select Committee on Intelligence,
95,Crapo,,,"Banking, Housing, and Urban Affairs",chair
96,Crapo,,,Budget,
97,Crapo,,,Finance,
98,Crapo,,,Indian Affairs,
99,Crapo,,,Judiciary,
100,Crapo,,,Joint Committee on Taxation,
101,Cruz,,,Armed Services,vice chair
102,Cruz,,,"Commerce, Science, and Transportation",
103,Cruz,,,Judiciary,
104,Cruz,,,Rules and Administration,
105,Cruz,,,Joint Economic Committee,
106,Daines,,,"Agriculture, Nutrition, and Forestry",
107,Daines,,,Appropriations,
108,Daines,,,Energy and Natural Resources,
109,Daines,,,Homeland Security and Governmental Affairs,
110,Daines,,,Indian Affairs,
111,Donnelly,,,"Agriculture, Nutrition, and Forestry",
112,Donnelly,,,Armed Services,vice chair
113,Donnelly,,,"Banking, Housing, and Urban Affairs",
114,Donnelly,,,Special Committee on Aging,
115,Duckworth,,,"Commerce, Science, and Transportation",
116,Duckworth,,,Energy and Natural Resources,
117,Duckworth,,,Environment and Public Works,
118,Duckworth,,,Small Business and Entrepreneurship,
119,Durbin,,,Appropriations,
120,Durbin,,,Judiciary,
121,Durbin,,,Rules and Administration,
122,Enzi,,,Budget,chair
123,Enzi,,,Finance,
124,Enzi,,,"Health, Education, Labor, and Pensions",
125,Enzi,,,Homeland Security and Governmental Affairs,
126,Enzi,,,Small Business and Entrepreneurship,
127,Ernst,,,"Agriculture, Nutrition, and Forestry",
128,Ernst,,,Armed Services,vice chair
129,Ernst,,,Environment and Public Works,
130,Ernst,,,Small Business and Entrepreneurship,
131,Feinstein,,,Appropriations,
132,Feinstein,,,Judiciary,
133,Feinstein,,,Rules and Administration,
134,Feinstein,,,Select Committee on Intelligence,
135,Fischer,,,"Agriculture, Nutrition, and Forestry",
136,Fischer,,,Armed Services,vice chair
137,Fischer,,,"Commerce, Science, and Transportation",
138,Fischer,,,Environment and Public Works,
139,Fischer,,,Rules and Administration,
