"representativeid","lastname","firstname","statelabel","statecode","district","chamber","party"
0,"Johnson","Henry C","Georgia",13,4,"Representative","Democratic"
1,"Weber","Randy K","Texas",48,14,"Representative","Republican"
2,"King","Angus S","Maine",23,0,"Senator","Independent"
3,"Casey","Robert P","Pennsylvania",42,0,"Senator","Democratic"
4,"Duncan","John J","Tennessee",47,2,"Representative","Republican"
5,"Donovan","Daniel M","New York",36,11,"Representative","Republican"
6,"Boustany","Charles W","Louisiana",22,3,"Representative","Republican"
7,"Jones","Walter B","North Carolina",37,3,"Representative","Republican"
8,"Sensenbrenner","James F","Wisconsin",55,5,"Representative","Republican"
9,"Bishop","Sanford D","Georgia",13,2,"Representative","Democratic"
10,"Pascrell","Bill","New Jersey",34,9,"Representative","Democratic"
11,"Conyers","John","Michigan",26,13,"Representative","Democratic"
12,"Pallone","Frank","New Jersey",34,6,"Representative","Democratic"
13,"Payne","Donald M","New Jersey",34,10,"Representative","Democratic"
14,"Beyer","Donald S","Virginia",51,8,"Representative","Democratic"
15,"Manchin","Joe","West Virginia",54,0,"Senator","Democratic"
16,"Kennedy","Joseph P","Massachusetts",25,4,"Representative","Democratic"
17,"Vela","Filemon","Texas",48,34,"Representative","Democratic"
18,"Farenthold","Blake","Texas",48,27,"Representative","Republican"
19,"Brady","Kevin","Texas",48,8,"Representative","Republican"
20,"Babin","Brian","Texas",48,36,"Representative","Republican"
21,"Kind","Ron","Wisconsin",55,3,"Representative","Democratic"
22,"Duffy","Sean P","Wisconsin",55,7,"Representative","Republican"
23,"Kustoff","David","Tennessee",47,8,"Representative","Republican"
24,"Nolan","Richard M","Minnesota",27,8,"Representative","Democratic"
25,"Comer","James","Kentucky",21,1,"Representative","Republican"
26,"Scalise","Steve","Louisiana",22,1,"Representative","Republican"
27,"Palazzo","Steven M","Mississippi",28,4,"Representative","Republican"
28,"Byrne","Bradley","Alabama",1,1,"Representative","Republican"
29,"Gallagher","Mike","Wisconsin",55,8,"Representative","Republican"
30,"Cooper","Jim","Tennessee",47,5,"Representative","Democratic"
31,"Dunn","Neal","Florida",12,2,"Representative","Republican"
32,"Kildee","Daniel T","Michigan",26,5,"Representative","Democratic"
33,"Mitchell","Paul","Michigan",26,10,"Representative","Republican"
34,"Bergman","Jack","Michigan",26,1,"Representative","Republican"
35,"Dingell","Debbie","Michigan",26,12,"Representative","Democratic"
36,"Yoho","Ted S","Florida",12,3,"Representative","Republican"
37,"Bilirakis","Gus M","Florida",12,12,"Representative","Republican"
38,"Webster","Daniel","Florida",12,11,"Representative","Republican"
39,"Kaptur","Marcy","Ohio",39,9,"Representative","Democratic"
40,"Crist","Charlie","Florida",12,13,"Representative","Democratic"
41,"Buchanan","Vern","Florida",12,16,"Representative","Republican"
42,"Castor","Kathy","Florida",12,14,"Representative","Democratic"
43,"Rooney","Francis","Florida",12,19,"Representative","Republican"
44,"Carter","Earl L","Georgia",13,1,"Representative","Republican"
45,"Curbelo","Carlos","Florida",12,26,"Representative","Republican"
46,"Ros-Lehtinen","Ileana","Florida",12,27,"Representative","Republican"
47,"Sanford","Mark","South Carolina",45,1,"Representative","Republican"
48,"Collins","Chris","New York",36,27,"Representative","Republican"
49,"Hoyer","Steny H","Maryland",24,5,"Representative","Democratic"
50,"Butterfield","K G","North Carolina",37,1,"Representative","Democratic"
51,"Wittman","Robert J","Virginia",51,1,"Representative","Republican"
52,"Scott","Robert C","Virginia",51,3,"Representative","Democratic"
53,"Stefanik","Elise M","New York",36,21,"Representative","Republican"
54,"Ruppersberger","A C","Maryland",24,2,"Representative","Democratic"
55,"Harris","Andy","Maryland",24,1,"Representative","Republican"
56,"Taylor","Scott","Virginia",51,2,"Representative","Republican"
57,"Rochester","Lisa Blunt","Delaware",10,0,"Representative","Democratic"
58,"Carper","Thomas R","Delaware",10,0,"Senator","Democratic"
59,"Coons","Christopher A","Delaware",10,0,"Senator","Democratic"
60,"MacArthur","Thomas","New Jersey",34,3,"Representative","Republican"
61,"Nadler","Jerrold","New York",36,10,"Representative","Democratic"
62,"Crowley","Joseph","New York",36,14,"Representative","Democratic"
63,"Engel","Eliot L","New York",36,16,"Representative","Democratic"
64,"Suozzi","Tom","New York",36,3,"Representative","Democratic"
65,"Himes","James A","Connecticut",9,4,"Representative","Democratic"
66,"DeLauro","Rosa L","Connecticut",9,3,"Representative","Democratic"
67,"Zeldin","Lee M","New York",36,1,"Representative","Republican"
68,"Langevin","James R","Rhode Island",44,2,"Representative","Democratic"
69,"Cicilline","David N","Rhode Island",44,1,"Representative","Democratic"
70,"Capuano","Michael E","Massachusetts",25,7,"Representative","Democratic"
71,"Lynch","Stephen F","Massachusetts",25,8,"Representative","Democratic"
72,"Shea-Porter","Carol","New Hampshire",33,1,"Representative","Democratic"
73,"Moulton","Seth","Massachusetts",25,6,"Representative","Democratic"
74,"Keating","William R","Massachusetts",25,9,"Representative","Democratic"
75,"Pingree","Chellie","Maine",23,1,"Representative","Democratic"
76,"Poliquin","Bruce","Maine",23,2,"Representative","Republican"
77,"Young","Don","Alaska",2,0,"Representative","Republican"
78,"Sullivan","Dan","Alaska",2,0,"Senator","Republican"
79,"Murkowski","Lisa","Alaska",2,0,"Senator","Republican"
80,"Gabbard","Tulsi","Hawaii",15,2,"Representative","Democratic"
81,"DeFazio","Peter A","Oregon",41,4,"Representative","Democratic"
82,"Bonamici","Suzanne","Oregon",41,1,"Representative","Democratic"
83,"Larsen","Rick","Washington",53,2,"Representative","Democratic"
84,"Heck","Denny","Washington",53,10,"Representative","Democratic"
85,"DelBene","Suzan K","Washington",53,1,"Representative","Democratic"
86,"Speier","Jackie","California",6,14,"Representative","Democratic"
87,"Kilmer","Derek","Washington",53,6,"Representative","Democratic"
88,"Huffman","Jared","California",6,2,"Representative","Democratic"
89,"Jayapal","Pramila","Washington",53,7,"Representative","Democratic"
90,"Pelosi","Nancy","California",6,12,"Representative","Democratic"
91,"Panetta","Jimmy","California",6,20,"Representative","Democratic"
92,"Brownley","Julia","California",6,26,"Representative","Democratic"
93,"Carbajal","Salud","California",6,24,"Representative","Democratic"
94,"Lowenthal","Alan S","California",6,47,"Representative","Democratic"
95,"Vargas","Juan","California",6,51,"Representative","Democratic"
96,"Pompeo","Mike","Kansas",20,4,"Representative","Republican"
97,"Cole","Tom","Oklahoma",40,4,"Representative","Republican"
98,"Gonzalez","Vicente","Texas",48,15,"Representative","Democratic"
99,"Castro","Joaquin","Texas",48,20,"Representative","Democratic"
100,"Williams","Roger","Texas",48,25,"Representative","Republican"
101,"Doggett","Lloyd","Texas",48,35,"Representative","Democratic"
102,"Granger","Kay","Texas",48,12,"Representative","Republican"
103,"Carter","John R","Texas",48,31,"Representative","Republican"
104,"McCaul","Michael T","Texas",48,10,"Representative","Republican"
105,"Fortenberry","Jeff","Nebraska",31,1,"Representative","Republican"
106,"Flores","Bill","Texas",48,17,"Representative","Republican"
107,"Russell","Steve","Oklahoma",40,5,"Representative","Republican"
108,"Veasey","Marc A","Texas",48,33,"Representative","Democratic"
109,"Burgess","Michael C","Texas",48,26,"Representative","Republican"
110,"Barton","Joe","Texas",48,6,"Representative","Republican"
111,"Peterson","Collin C","Minnesota",27,7,"Representative","Democratic"
112,"Marchant","Kenny","Texas",48,24,"Representative","Republican"
113,"Johnson","Eddie Bernice","Texas",48,30,"Representative","Democratic"
114,"Mullin","Markwayne","Oklahoma",40,2,"Representative","Republican"
