"billid","billname","committeename"
1,"BILLS-115hr147ih","Committee on Foreign Relations"
2,"BILLS-115s1592is","Committee on the Judiciary"
3,"BILLS-115hr2095ih","Committee on the Judiciary"
4,"BILLS-115s456is","Committee on Education and the Workforce"
5,"BILLS-115s54is","Committee on Health, Education, Labor, and Pensions"
6,"BILLS-115hr1231ih","Committee on the Judiciary"
7,"BILLS-115hr149ih","Committee on Energy and Commerce"
8,"BILLS-115hr6390ih","Committee on Financial Services"
9,"BILLS-115s3321is","Committee on Small Business"
9,"BILLS-115s3321is","the Judiciary"
10,"BILLS-115sres56is","Committee on Banking, Housing, and Urban Affairs"
11,"BILLS-115hres291ih","Committee on the Judiciary"
12,"BILLS-115hres817ih","Committee on the Judiciary"
13,"BILLS-115sres70is","Committee on the Judiciary"
14,"BILLS-115s3321rfh","Committee on the Judiciary"
15,"BILLS-115s3321es","Committee on Financial Services"
15,"BILLS-115s3321es","Committee on House Administration"
16,"BILLS-115hres706ih","nan"
17,"BILLS-115hres902ih","Committee on Energy and Commerce"
18,"BILLS-115sres383is","Committee on the Judiciary"
18,"BILLS-115sres383is","Education and the Workforce"
19,"BILLS-115hres139ih","Committee on Health, Education, Labor, and Pensions"
20,"BILLS-115s3271is","Committee on Energy and Commerce"
21,"BILLS-115hr2282ih","Committee on the Judiciary"
22,"BILLS-115hr1566ih","Committee on the Judiciary"
22,"BILLS-115hr1566ih","Education and the Workforce"
22,"BILLS-115hr1566ih","Financial Services"
22,"BILLS-115hr1566ih","Oversight and Government Reform"
22,"BILLS-115hr1566ih","House Administration"
23,"BILLS-115s1006is","Committee on the Judiciary"
24,"BILLS-115s662is","Committee on the Judiciary"
25,"BILLS-115hres646lth","Committee on the Judiciary"
26,"BILLS-115hr3520ih","nan"
27,"BILLS-115hr651ih","Committee on the Judiciary"
28,"BILLS-115hr1447ih","Committee on Education and the Workforce"
29,"BILLS-115hr3239ih","Committee on the Judiciary"
30,"BILLS-115s1328is","Committee on the Judiciary"
31,"BILLS-115s1143is","Committee on the Judiciary"
32,"BILLS-115hr2498ih","Committee on Health, Education, Labor, and Pensions"
33,"BILLS-115hr4019ih","Committee on Financial Services"
34,"BILLS-115s1593is","Committee on the Judiciary"
35,"BILLS-115hres452ih","Committee on the Judiciary"
36,"BILLS-115hr6905ih","Committee on Armed Services"
37,"BILLS-115s1419is","Committee on Transportation and Infrastructure"
37,"BILLS-115s1419is","Committee on Homeland Security"
38,"BILLS-115hr2978ih","Committee on the Judiciary"
39,"BILLS-115hconres78ih","Committee on the Judiciary"
40,"BILLS-115s2940is","Committee on the Judiciary"
41,"BILLS-115hr6707ih","Committee on Health, Education, Labor, and Pensions"
