"billid","billname","firstname","lastname","state","primaryorco"
1,"BILLS-115hr147ih","nan","Merkley","nan","Primary"
1,"BILLS-115hr147ih","nan","Warren","nan","Co"
1,"BILLS-115hr147ih","nan","Gillibrand","nan","Co"
1,"BILLS-115hr147ih","nan","Markey","nan","Co"
1,"BILLS-115hr147ih","nan","Wyden","nan","Co"
1,"BILLS-115hr147ih","nan","Sanders","nan","Co"
1,"BILLS-115hr147ih","nan","Feinstein","nan","Co"
2,"BILLS-115s1592is","nan","Franks","Arizona","Primary"
2,"BILLS-115s1592is","nan","nan","nan","Co"
3,"BILLS-115hr2095ih","nan","Blunt","nan","Primary"
3,"BILLS-115hr2095ih","nan","Cochran","nan","Co"
3,"BILLS-115hr2095ih","nan","Cornyn","nan","Co"
3,"BILLS-115hr2095ih","nan","Manchin","nan","Co"
3,"BILLS-115hr2095ih","nan","Enzi","nan","Co"
3,"BILLS-115hr2095ih","nan","Thune","nan","Co"
3,"BILLS-115hr2095ih","nan","Strange","nan","Co"
3,"BILLS-115hr2095ih","nan","Capito","nan","Co"
4,"BILLS-115s456is","nan","Norton","nan","Primary"
4,"BILLS-115s456is","nan","Pocan","nan","Co"
4,"BILLS-115s456is","nan","Ryan","Ohio","Co"
4,"BILLS-115s456is","nan","Davis","California","Co"
4,"BILLS-115s456is","nan","Pallone","nan","Co"
5,"BILLS-115s54is","nan","Bennet","nan","Primary"
5,"BILLS-115s54is","nan","Rubio","nan","Co"
5,"BILLS-115s54is","Van","Hollen","nan","Co"
5,"BILLS-115s54is","nan","Gardner","nan","Co"
6,"BILLS-115hr1231ih","nan","Booker","nan","Primary"
6,"BILLS-115hr1231ih","nan","Warren","nan","Co"
6,"BILLS-115hr1231ih","nan","Schatz","nan","Co"
6,"BILLS-115hr1231ih","nan","Markey","nan","Co"
6,"BILLS-115hr1231ih","nan","Murray","nan","Co"
6,"BILLS-115hr1231ih","nan","Sanders","nan","Co"
6,"BILLS-115hr1231ih","nan","Leahy","nan","Co"
6,"BILLS-115hr1231ih","nan","Merkley","nan","Co"
6,"BILLS-115hr1231ih","nan","Hirono","nan","Co"
6,"BILLS-115hr1231ih","nan","Wyden","nan","Co"
7,"BILLS-115hr149ih","nan","McCaul","nan","Primary"
7,"BILLS-115hr149ih","nan","Butterfield","nan","Co"
7,"BILLS-115hr149ih","nan","Duffy","nan","Co"
7,"BILLS-115hr149ih","nan","Clarke","New York","Co"
8,"BILLS-115hr6390ih","Al","Green","Texas","Primary"
8,"BILLS-115hr6390ih","nan","nan","nan","Co"
9,"BILLS-115s3321is","nan","Comstock","nan","Primary"
9,"BILLS-115s3321is","nan","Fitzpatrick","nan","Co"
9,"BILLS-115s3321is","nan","Costa","nan","Co"
9,"BILLS-115s3321is","nan","Hastings","nan","Co"
9,"BILLS-115s3321is","nan","Jeffries","nan","Co"
9,"BILLS-115s3321is","nan","Lipinski","nan","Co"
9,"BILLS-115s3321is","nan","Clarke","New York","Co"
9,"BILLS-115s3321is","nan","Peters","nan","Co"
10,"BILLS-115sres56is","nan","Coons","nan","Primary"
10,"BILLS-115sres56is","nan","Murkowski","nan","Co"
10,"BILLS-115sres56is","nan","Harris","nan","Co"
10,"BILLS-115sres56is","nan","Capito","nan","Co"
10,"BILLS-115sres56is","nan","Markey","nan","Co"
10,"BILLS-115sres56is","nan","Warren","nan","Co"
10,"BILLS-115sres56is","nan","Carper","nan","Co"
10,"BILLS-115sres56is","nan","Klobuchar","nan","Co"
10,"BILLS-115sres56is","nan","Hassan","nan","Co"
10,"BILLS-115sres56is","nan","Alexander","nan","Co"
10,"BILLS-115sres56is","nan","Peters","nan","Co"
10,"BILLS-115sres56is","nan","Whitehouse","nan","Co"
10,"BILLS-115sres56is","nan","Wyden","nan","Co"
10,"BILLS-115sres56is","nan","Durbin","nan","Co"
10,"BILLS-115sres56is","nan","Merkley","nan","Co"
10,"BILLS-115sres56is","nan","Smith","nan","Co"
10,"BILLS-115sres56is","nan","Isakson","nan","Co"
10,"BILLS-115sres56is","nan","Reed","nan","Co"
10,"BILLS-115sres56is","nan","Collins","nan","Co"
10,"BILLS-115sres56is","nan","Jones","nan","Co"
10,"BILLS-115sres56is","nan","Manchin","nan","Co"
10,"BILLS-115sres56is","nan","Kaine","nan","Co"
10,"BILLS-115sres56is","nan","Murray","nan","Co"
10,"BILLS-115sres56is","Van","Hollen","nan","Co"
10,"BILLS-115sres56is","nan","Heitkamp","nan","Co"
10,"BILLS-115sres56is","Cortez","Masto","nan","Co"
10,"BILLS-115sres56is","nan","Casey","nan","Co"
10,"BILLS-115sres56is","nan","Gillibrand","nan","Co"
10,"BILLS-115sres56is","nan","Shaheen","nan","Co"
10,"BILLS-115sres56is","nan","McCaskill","nan","Co"
10,"BILLS-115sres56is","nan","Blumenthal","nan","Co"
10,"BILLS-115sres56is","nan","Hirono","nan","Co"
10,"BILLS-115sres56is","nan","King","nan","Co"
