,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
0,CHRG-115jhrg32260,https://www.govinfo.gov/content/pkg/CHRG-115jhrg32260/html/CHRG-115jhrg32260.htm,,,,,,,,,,,
1,CHRG-115hhrg28453,https://www.govinfo.gov/content/pkg/CHRG-115hhrg28453/html/CHRG-115hhrg28453.htm,,,,,,,,,,,
2,CHRG-115hhrg28115,https://www.govinfo.gov/content/pkg/CHRG-115hhrg28115/html/CHRG-115hhrg28115.htm,,,,,,,,,,,
3,CHRG-115shrg27895,https://www.govinfo.gov/content/pkg/CHRG-115shrg27895/html/CHRG-115shrg27895.htm,,,,,,,,,,,
4,CHRG-115hhrg25427,https://www.govinfo.gov/content/pkg/CHRG-115hhrg25427/html/CHRG-115hhrg25427.htm,,,,,,,,,,,
5,CHRG-115shrg27829,https://www.govinfo.gov/content/pkg/CHRG-115shrg27829/html/CHRG-115shrg27829.htm,,,,,,,,,,,
6,CHRG-115hhrg27152,https://www.govinfo.gov/content/pkg/CHRG-115hhrg27152/html/CHRG-115hhrg27152.htm,,,,,,,,,,,
7,CHRG-115hhrg34978,https://www.govinfo.gov/content/pkg/CHRG-115hhrg34978/html/CHRG-115hhrg34978.htm,,,,,,,,,,,
8,CHRG-115hhrg32325,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32325/html/CHRG-115hhrg32325.htm,,,,,,,,,,,
9,CHRG-115shrg39879,https://www.govinfo.gov/content/pkg/CHRG-115shrg39879/html/CHRG-115shrg39879.htm,,,,,,,,,,,
10,CHRG-115shrg30600,https://www.govinfo.gov/content/pkg/CHRG-115shrg30600/html/CHRG-115shrg30600.htm,,,,,,,,,,,
11,CHRG-115hhrg33124,https://www.govinfo.gov/content/pkg/CHRG-115hhrg33124/html/CHRG-115hhrg33124.htm,,,,,,,,,,,
12,CHRG-115shrg29840,https://www.govinfo.gov/content/pkg/CHRG-115shrg29840/html/CHRG-115shrg29840.htm,,,,,,,,,,,
13,CHRG-115hhrg32667,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32667/html/CHRG-115hhrg32667.htm,,,,,,,,,,,
14,CHRG-115hhrg25480,https://www.govinfo.gov/content/pkg/CHRG-115hhrg25480/html/CHRG-115hhrg25480.htm,,,,,,,,,,,
15,CHRG-115hhrg34447,https://www.govinfo.gov/content/pkg/CHRG-115hhrg34447/html/CHRG-115hhrg34447.htm,,,,,,,,,,,
16,CHRG-115hhrg32844,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32844/html/CHRG-115hhrg32844.htm,,,,,,,,,,,
17,CHRG-115hhrg31575,https://www.govinfo.gov/content/pkg/CHRG-115hhrg31575/html/CHRG-115hhrg31575.htm,,,,,,,,,,,
18,CHRG-115hhrg30056,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30056/html/CHRG-115hhrg30056.htm,,,,,,,,,,,
19,CHRG-115shrg31534,https://www.govinfo.gov/content/pkg/CHRG-115shrg31534/html/CHRG-115shrg31534.htm,,,,,,,,,,,
20,CHRG-115shrg32266,https://www.govinfo.gov/content/pkg/CHRG-115shrg32266/html/CHRG-115shrg32266.htm,,,,,,,,,,,
21,CHRG-115shrg31637,https://www.govinfo.gov/content/pkg/CHRG-115shrg31637/html/CHRG-115shrg31637.htm,,,,,,,,,,,
22,CHRG-115shrg31330,https://www.govinfo.gov/content/pkg/CHRG-115shrg31330/html/CHRG-115shrg31330.htm,,,,,,,,,,,
23,CHRG-115jhrg27343,https://www.govinfo.gov/content/pkg/CHRG-115jhrg27343/html/CHRG-115jhrg27343.htm,,,,,,,,,,,
24,CHRG-115shrg28548,https://www.govinfo.gov/content/pkg/CHRG-115shrg28548/html/CHRG-115shrg28548.htm,,,,,,,,,,,
25,CHRG-115shrg26823,https://www.govinfo.gov/content/pkg/CHRG-115shrg26823/html/CHRG-115shrg26823.htm,,,,,,,,,,,
26,CHRG-115shrg25919,https://www.govinfo.gov/content/pkg/CHRG-115shrg25919/html/CHRG-115shrg25919.htm,,,,,,,,,,,
27,CHRG-115hhrg24683,https://www.govinfo.gov/content/pkg/CHRG-115hhrg24683/html/CHRG-115hhrg24683.htm,,,,,,,,,,,
28,CHRG-115hhrg27671,https://www.govinfo.gov/content/pkg/CHRG-115hhrg27671/html/CHRG-115hhrg27671.htm,,,,,,,,,,,
29,CHRG-115hhrg28689,https://www.govinfo.gov/content/pkg/CHRG-115hhrg28689/html/CHRG-115hhrg28689.htm,,,,,,,,,,,
30,CHRG-115shrg30197,https://www.govinfo.gov/content/pkg/CHRG-115shrg30197/html/CHRG-115shrg30197.htm,,,,,,,,,,,
31,CHRG-115hhrg30234,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30234/html/CHRG-115hhrg30234.htm,,,,,,,,,,,
32,CHRG-115shrg24428,https://www.govinfo.gov/content/pkg/CHRG-115shrg24428/html/CHRG-115shrg24428.htm,,,,,,,,,,,
33,CHRG-115hhrg30774,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30774/html/CHRG-115hhrg30774.htm,,,,,,,,,,,
34,CHRG-115shrg37801,https://www.govinfo.gov/content/pkg/CHRG-115shrg37801/html/CHRG-115shrg37801.htm,,,,,,,,,,,
35,CHRG-115shrg89104860,https://www.govinfo.gov/content/pkg/CHRG-115shrg89104860/html/CHRG-115shrg89104860.htm,,,,,,,,,,,
36,CHRG-115shrg39600,https://www.govinfo.gov/content/pkg/CHRG-115shrg39600/html/CHRG-115shrg39600.htm,,,,,,,,,,,
37,CHRG-115hhrg28970,https://www.govinfo.gov/content/pkg/CHRG-115hhrg28970/html/CHRG-115hhrg28970.htm,,,,,,,,,,,
38,CHRG-115shrg31487,https://www.govinfo.gov/content/pkg/CHRG-115shrg31487/html/CHRG-115shrg31487.htm,,,,,,,,,,,
39,CHRG-115shrg35238,https://www.govinfo.gov/content/pkg/CHRG-115shrg35238/html/CHRG-115shrg35238.htm,,,,,,,,,,,
40,CHRG-115hhrg31294,https://www.govinfo.gov/content/pkg/CHRG-115hhrg31294/html/CHRG-115hhrg31294.htm,,,,,,,,,,,
41,CHRG-115shrg30959,https://www.govinfo.gov/content/pkg/CHRG-115shrg30959/html/CHRG-115shrg30959.htm,,,,,,,,,,,
42,CHRG-115shrg29807,https://www.govinfo.gov/content/pkg/CHRG-115shrg29807/html/CHRG-115shrg29807.htm,,,,,,,,,,,
43,CHRG-115hhrg30102,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30102/html/CHRG-115hhrg30102.htm,,,,,,,,,,,
44,CHRG-115shrg32765-pt2,https://www.govinfo.gov/content/pkg/CHRG-115shrg32765/html/CHRG-115shrg32765-pt2.htm,,,,,,,,,,,
45,CHRG-115shrg32765,https://www.govinfo.gov/content/pkg/CHRG-115shrg32765/html/CHRG-115shrg32765.htm,,,,,,,,,,,
46,CHRG-115shrg31316,https://www.govinfo.gov/content/pkg/CHRG-115shrg31316/html/CHRG-115shrg31316.htm,,,,,,,,,,,
47,CHRG-115hhrg32796,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32796/html/CHRG-115hhrg32796.htm,,,,,,,,,,,
48,CHRG-115hhrg32788,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32788/html/CHRG-115hhrg32788.htm,,,,,,,,,,,
49,CHRG-115shrg26197,https://www.govinfo.gov/content/pkg/CHRG-115shrg26197/html/CHRG-115shrg26197.htm,,,,,,,,,,,
50,CHRG-115hhrg35951,https://www.govinfo.gov/content/pkg/CHRG-115hhrg35951/html/CHRG-115hhrg35951.htm,,,,,,,,,,,
51,CHRG-115hhrg30484,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30484/html/CHRG-115hhrg30484.htm,,,,,,,,,,,
52,CHRG-115shrg40430,https://www.govinfo.gov/content/pkg/CHRG-115shrg40430/html/CHRG-115shrg40430.htm,,,,,,,,,,,
53,CHRG-115shrg37332,https://www.govinfo.gov/content/pkg/CHRG-115shrg37332/html/CHRG-115shrg37332.htm,,,,,,,,,,,
54,CHRG-115shrg31138,https://www.govinfo.gov/content/pkg/CHRG-115shrg31138/html/CHRG-115shrg31138.htm,,,,,,,,,,,
55,CHRG-115shrg32784,https://www.govinfo.gov/content/pkg/CHRG-115shrg32784/html/CHRG-115shrg32784.htm,,,,,,,,,,,
56,CHRG-115shrg29975,https://www.govinfo.gov/content/pkg/CHRG-115shrg29975/html/CHRG-115shrg29975.htm,,,,,,,,,,,
57,CHRG-115shrg79104793,https://www.govinfo.gov/content/pkg/CHRG-115shrg79104793/html/CHRG-115shrg79104793.htm,,,,,,,,,,,
58,CHRG-115hhrg27889,https://www.govinfo.gov/content/pkg/CHRG-115hhrg27889/html/CHRG-115hhrg27889.htm,,,,,,,,,,,
59,CHRG-115hhrg31448,https://www.govinfo.gov/content/pkg/CHRG-115hhrg31448/html/CHRG-115hhrg31448.htm,,,,,,,,,,,
60,CHRG-115hhrg26143,https://www.govinfo.gov/content/pkg/CHRG-115hhrg26143/html/CHRG-115hhrg26143.htm,,,,,,,,,,,
61,CHRG-115hhrg26561,https://www.govinfo.gov/content/pkg/CHRG-115hhrg26561/html/CHRG-115hhrg26561.htm,,,,,,,,,,,
