,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
0,BILLS-115s3667is,https://www.govinfo.gov/content/pkg/BILLS-115s3667is/xml/BILLS-115s3667is.xml,,,,,,,,,,,
1,BILLS-115hr147ih,https://www.govinfo.gov/content/pkg/BILLS-115hr147ih/xml/BILLS-115hr147ih.xml,,,,,,,,,,,
2,BILLS-115s1592is,https://www.govinfo.gov/content/pkg/BILLS-115s1592is/xml/BILLS-115s1592is.xml,,,,,,,,,,,
3,BILLS-115hr2095ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2095ih/xml/BILLS-115hr2095ih.xml,,,,,,,,,,,
4,BILLS-115s456is,https://www.govinfo.gov/content/pkg/BILLS-115s456is/xml/BILLS-115s456is.xml,,,,,,,,,,,
5,BILLS-115s54is,https://www.govinfo.gov/content/pkg/BILLS-115s54is/xml/BILLS-115s54is.xml,,,,,,,,,,,
6,BILLS-115hr1231ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1231ih/xml/BILLS-115hr1231ih.xml,,,,,,,,,,,
7,BILLS-115hr149ih,https://www.govinfo.gov/content/pkg/BILLS-115hr149ih/xml/BILLS-115hr149ih.xml,,,,,,,,,,,
8,BILLS-115hr6390ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6390ih/xml/BILLS-115hr6390ih.xml,,,,,,,,,,,
9,BILLS-115s3321is,https://www.govinfo.gov/content/pkg/BILLS-115s3321is/xml/BILLS-115s3321is.xml,,,,,,,,,,,
10,BILLS-115sres56is,https://www.govinfo.gov/content/pkg/BILLS-115sres56is/xml/BILLS-115sres56is.xml,,,,,,,,,,,
11,BILLS-115hres291ih,https://www.govinfo.gov/content/pkg/BILLS-115hres291ih/xml/BILLS-115hres291ih.xml,,,,,,,,,,,
12,BILLS-115hres817ih,https://www.govinfo.gov/content/pkg/BILLS-115hres817ih/xml/BILLS-115hres817ih.xml,,,,,,,,,,,
13,BILLS-115sres70is,https://www.govinfo.gov/content/pkg/BILLS-115sres70is/xml/BILLS-115sres70is.xml,,,,,,,,,,,
